event_id,timestamp,event_type,source_ip,user_agent,endpoint,http_method,query_params,username,auth_result,failure_reason,dest_port,protocol,connection_result,response_code,response_time_ms
4f546761-10b2-4b79-b3fe-b3082c0fe0e6,2024-12-01T00:05:48.238580Z,CONNECTION_ATTEMPT,172.16.0.12,,,GET,,,,,39447,TCP,TIMEOUT,,74
889b3418-c914-46a9-bd73-b2d0b3b21c60,2024-12-01T00:54:56.901556Z,CONNECTION_ATTEMPT,192.168.1.103,,,POST,,,,,35061,UDP,RESET,,58
32670a4c-73a7-4c01-acc8-15dd6cd6059d,2024-12-01T01:04:39.654503Z,HTTP_REQUEST,10.0.0.54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",/api/search,POST,,,,,,,,204,144
62a4bdeb-e231-48ec-b533-5fcde78e7e0d,2024-12-01T01:12:17.458120Z,CONNECTION_ATTEMPT,185.156.73.54,,,GET,,,,,26320,TCP,RESET,,23
52b5e5d0-dc5e-419f-ad35-9990bfbdb18e,2024-12-01T01:57:11.563839Z,AUTH_ATTEMPT,172.16.0.13,Wget/1.21.1,/login,GET,,nicole.clark,SUCCESS,,,,,200,110
57cda611-a210-4260-a3cc-b956952d71ef,2024-12-01T02:20:03.798616Z,CONNECTION_ATTEMPT,172.16.0.12,,,POST,,,,,45107,UDP,OPEN,,51
64e2730b-0717-48ce-a7d6-afb1913dd121,2024-12-01T02:41:14.889712Z,CONNECTION_ATTEMPT,192.168.1.102,,,GET,,,,,11688,TCP,OPEN,,7
1194e9da-77a1-4c2d-959e-a266fcda59c8,2024-12-01T02:56:15.852644Z,HTTP_REQUEST,5.188.206.13,Wget/1.21.1,/.env,GET,,,,,,,,201,195
d007ca87-a3e0-452f-b13c-5f682ff58e07,2024-12-01T02:58:19.025207Z,CONNECTION_ATTEMPT,192.168.1.101,,,GET,,,,,21474,UDP,OPEN,,5
d31c585e-14e5-47f6-9fb6-0016c2a4dccf,2024-12-01T03:46:29.140582Z,CONNECTION_ATTEMPT,192.168.1.104,,,GET,,,,,38674,TCP,RESET,,33
5aea9044-3415-4683-b19b-44d18327f874,2024-12-01T04:31:12.312292Z,AUTH_ATTEMPT,192.168.1.102,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",/logout,POST,,amanda.taylor,LOGOUT,,,,,200,56
644f1d0d-9917-4401-90ce-e71b7bbae486,2024-12-01T05:11:51.221198Z,AUTH_ATTEMPT,192.168.1.101,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",/login,POST,,emily.davis,FAILED,invalid_credentials,,,,401,152
bfd53212-4566-4a40-b45e-46472a1b3230,2024-12-01T05:33:24.751289Z,AUTH_ATTEMPT,192.168.1.104,Nikto/2.5.0,/logout,GET,,john.doe,LOGOUT,,,,,200,32
ea8c0b0a-e3a0-4cb2-a0b6-28e88788fafe,2024-12-01T05:44:28.387154Z,AUTH_ATTEMPT,172.16.0.10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",/login,GET,,michael.harris,SUCCESS,,,,,200,50
0976fca0-f775-4637-91f2-1fa19c1fff86,2024-12-01T05:55:06.016344Z,CONNECTION_ATTEMPT,185.220.101.45,,,GET,,,,,24509,TCP,REFUSED,,65
7eea14ae-c9db-486a-9b11-52e5b1734b4d,2024-12-01T06:02:59.593044Z,HTTP_REQUEST,89.248.167.131,Wget/1.21.1,/phpmyadmin,GET,,,,,,,,200,182
e4b61441-206e-4962-af28-732558d6f9de,2024-12-01T06:35:53.807445Z,AUTH_ATTEMPT,192.168.1.100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/login,POST,,emily.davis,FAILED,account_not_found,,,,401,138
27538216-e960-4d45-ab06-55f5d897ad4c,2024-12-01T07:16:44.795409Z,HTTP_REQUEST,172.16.0.13,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",/api/orders,POST,,,,,,,,204,133
83d45f06-ee8c-4b71-99ce-83ac5b2bcfc1,2024-12-01T07:17:43.173133Z,CONNECTION_ATTEMPT,209.141.47.245,,,GET,,,,,21426,UDP,OPEN,,31
bb48f027-a6c3-4533-9333-ec451d5922e3,2024-12-01T07:39:03.638432Z,HTTP_REQUEST,172.16.0.10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",/api/orders,GET,,,,,,,,201,187
26602591-4868-4d63-a40b-b3f423540dee,2024-12-01T08:01:40.891488Z,HTTP_REQUEST,172.16.0.11,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,/docs,POST,,,,,,,,200,58
9528b0b1-8252-4886-a54c-f518172503fd,2024-12-01T08:18:15.530723Z,CONNECTION_ATTEMPT,172.16.0.13,,,POST,,,,,23001,UDP,RESET,,74
9a6fed57-aeb9-4f67-80ec-bf55e6393362,2024-12-01T08:41:52.712609Z,AUTH_ATTEMPT,172.16.0.13,sqlmap/1.7.2#stable (https://sqlmap.org),/login,POST,,chris.miller,FAILED,invalid_password,,,,401,1832
8940572c-1f45-4981-8065-a1d5a17b243d,2024-12-01T08:59:39.537457Z,HTTP_REQUEST,10.0.0.50,Wget/1.21.1,/api/analytics,POST,,,,,,,,201,221
